안동시,Andong,North Gyeongsang
안산시,Ansan,Gyeonggi
안성시,Anseong,Gyeonggi
안양시,Anyang,Gyeonggi
아산시,Asan,South Chungcheong
보령시,Boryeong,South Chungcheong
부천시,Bucheon,Gyeonggi
부산광역시,Busan,none
창원시,Changwon,South Gyeongsang
천안시,Cheonan,South Chungcheong
청주시,Cheongju,North Chungcheong
춘천시,Chuncheon,Gangwon
충주시,Chungju,North Chungcheong
대구광역시,Daegu,none
대전광역시,Daejeon,none
당진시,Dangjin,South Chungcheong
동두천시,Dongducheon,Gyeonggi
동해시,Donghae,Gangwon
강릉시,Gangneung,Gangwon
거제시,Geoje,South Gyeongsang
김천시,Gimcheon,North Gyeongsang
김해시,Gimhae,South Gyeongsang
김제시,Gimje,North Jeolla
김포시,Gimpo,Gyeonggi
공주시,Gongju,South Chungcheong
고양시,Goyang,Gyeonggi
구미시,Gumi,North Gyeongsang
군포시,Gunpo,Gyeonggi
군산시,Gunsan,North Jeolla
구리시,Guri,Gyeonggi
과천시,Gwacheon,Gyeonggi
광주광역시,Gwangju,none
광주시,Gwangju,Gyeonggi
광명시,Gwangmyeong,Gyeonggi
광양시,Gwangyang,South Jeolla
경주시,Gyeongju,North Gyeongsang
경산시,Gyeongsan,North Gyeongsang
계룡시,Gyeryong,South Chungcheong
하남시,Hanam,Gyeonggi
화성시,Hwaseong,Gyeonggi
이천시,Icheon,Gyeonggi
익산시,Iksan,North Jeolla
인천광역시,Incheon,none
제천시,Jecheon,North Chungcheong
정읍시,Jeongeup,North Jeolla
전주시,Jeonju,North Jeolla
제주시,Jeju,Jeju
진주시,Jinju,South Gyeongsang
나주시,Naju,South Jeolla
남양주시,Namyangju,Gyeonggi
남원시,Namwon,North Jeolla
논산시,Nonsan,South Chungcheong
밀양시,Miryang,South Gyeongsang
목포시,Mokpo,South Jeolla
문경시,Mungyeong,North Gyeongsang
오산시,Osan,Gyeonggi
파주시,Paju,Gyeonggi
포천시,Pocheon,Gyeonggi
포항시,Pohang,North Gyeongsang
평택시,Pyeongtaek,Gyeonggi
사천시,Sacheon,South Gyeongsang
상주시,Sangju,North Gyeongsang
삼척시,Samcheok,Gangwon
세종특별자치시,Sejong,none
서귀포시,Seogwipo,Jeju
성남시,Seongnam,Gyeonggi
서산시,Seosan,South Chungcheong
서울특별시,Seoul,none
시흥시,Siheung,Gyeonggi
속초시,Sokcho,Gangwon
순천시,Suncheon,South Jeolla
수원시,Suwon,Gyeonggi
태백시,Taebaek,Gangwon
통영시,Tongyeong,South Gyeongsang
의정부시,Uijeongbu,Gyeonggi
의왕시,Uiwang,Gyeonggi
울산광역시,Ulsan,none
원주시,Wonju,Gangwon
양주시,Yangju,Gyeonggi
양산시,Yangsan,South Gyeongsang
여주시,Yeoju,Gyeonggi
영천시,Yeongcheon,North Gyeongsang
영주시,Yeongju,North Gyeongsang
여수시,Yeosu,South Jeolla
용인시,Yongin,Gyeonggi